episode,avg_len,loss,vs_greedy_wr
467968,60.1,0.0680,0.6360
470016,61.0,0.0000,0.6115
472576,60.0,0.0797,0.6050
475136,60.8,0.0000,0.6005
477696,61.6,0.0770,0.6000
480256,60.6,0.0000,0.6110
482816,62.5,0.0720,0.5970
485376,61.1,0.0000,0.6150
487936,60.4,0.0744,0.6110
490496,60.8,0.0000,0.6125
492544,59.3,0.0755,0.6155
495104,58.6,0.0000,0.6330
497664,55.1,0.0825,0.6200
500000,56.3,0.0000,0.6120
